Datetime,TAVG
10/9/2013,59
10/10/2013,60
10/11/2013,62
10/12/2013,64
10/13/2013,64
10/14/2013,60
10/15/2013,63
10/16/2013,64
10/17/2013,50
10/18/2013,51
10/19/2013,49
10/20/2013,46
10/21/2013,52
10/22/2013,47
10/23/2013,44
10/24/2013,40
10/25/2013,38
10/26/2013,39
10/27/2013,47
10/28/2013,47
10/29/2013,49
10/30/2013,57
10/31/2013,63
11/1/2013,58
11/2/2013,51
11/3/2013,45
11/4/2013,46
11/5/2013,54
11/6/2013,56
11/7/2013,47
11/8/2013,40
11/9/2013,46
11/10/2013,49
11/11/2013,42
11/12/2013,35
11/13/2013,29
11/14/2013,37
11/15/2013,45
11/16/2013,50
11/17/2013,60
11/18/2013,50
11/19/2013,37
11/20/2013,37
11/21/2013,47
11/22/2013,51
11/23/2013,35
11/24/2013,23
11/25/2013,27
11/26/2013,33
11/27/2013,30
11/28/2013,24
11/29/2013,28
11/30/2013,35
12/1/2013,45
12/2/2013,46
12/3/2013,46
12/4/2013,52
12/5/2013,55
12/6/2013,31
12/7/2013,25
12/8/2013,23
12/9/2013,30
12/10/2013,23
12/11/2013,22
12/12/2013,17
12/13/2013,25
12/14/2013,35
12/15/2013,30
12/16/2013,30
12/17/2013,32
12/18/2013,30
12/19/2013,43
12/20/2013,54
12/21/2013,61
12/22/2013,57
12/23/2013,35
12/24/2013,21
12/25/2013,23
12/26/2013,35
12/27/2013,35
12/28/2013,41
12/29/2013,41
12/30/2013,29
12/31/2013,26
1/1/2014,32
1/2/2014,31
1/3/2014,11
1/4/2014,22
1/5/2014,36
1/6/2014,10
1/7/2014,-2
1/8/2014,16
1/9/2014,29
1/10/2014,39
1/11/2014,48
1/12/2014,37
1/13/2014,46
1/14/2014,42
1/15/2014,29
1/16/2014,23
1/17/2014,26
1/18/2014,17
1/19/2014,29
1/20/2014,37
1/21/2014,24
1/22/2014,4
1/23/2014,8
1/24/2014,4
1/25/2014,23
1/26/2014,22
1/27/2014,22
1/28/2014,2
1/29/2014,6
1/30/2014,18
1/31/2014,35
2/1/2014,43
2/2/2014,39
2/3/2014,29
2/4/2014,26
2/5/2014,28
2/6/2014,22
2/7/2014,11
2/8/2014,17
2/9/2014,27
2/10/2014,17
2/11/2014,11
2/12/2014,17
2/13/2014,26
2/14/2014,32
2/15/2014,23
2/16/2014,26
2/17/2014,24
2/18/2014,40
2/19/2014,45
2/20/2014,49
2/21/2014,47
2/22/2014,44
2/23/2014,38
2/24/2014,27
2/25/2014,28
2/26/2014,21
2/27/2014,21
2/28/2014,21
3/1/2014,38
3/2/2014,33
3/3/2014,17
3/4/2014,17
3/5/2014,27
3/6/2014,31
3/7/2014,41
3/8/2014,43
3/9/2014,38
3/10/2014,46
3/11/2014,58
3/12/2014,49
3/13/2014,26
3/14/2014,45
